# gapseq version: 1.4.0
# Sequence DB md5sum: ae174b5 (2025-12-01, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-9663	trans hexadecenoyl-[acp] reductase	1.3.1.9		UniRef90_P44432	49.606	1.91e-77	252	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWY-5971|	good_blast	threshold	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9663	trans hexadecenoyl-[acp] reductase	1.3.1.9		UniRef90_O67505	47.244	4.66e-76	248	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWY-5971|	good_blast	threshold	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9663	trans hexadecenoyl-[acp] reductase	1.3.1.9		UniRef90_P57353	44.531	7.17e-72	236	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300219	|PWY-5971|	good_blast	threshold	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9549	acyl-[acp] thioesterase (fatty acyl-[acyl-carrier-protein] hydrolase FatB)	3.1.2.14	NA									|PWY-5971|	no_blast	threshold	rxn06033 rxn06251 rxn06556 rxn08433 rxn08434 rxn08435 rxn08436 rxn08437 rxn08438 rxn09454 rxn09456 rxn11699 rxn17803 rxn21082 rxn23283 rxn23301 rxn23315 rxn24506 rxn25653 rxn25656 rxn25660 rxn27551 rxn28229 rxn34722 rxn34724 rxn37723 rxn37726 	NA	0	NA
3.1.2.21-RXN	acyl-[acp] thioesterase (fatty acyl-[acyl-carrier-protein] hydrolase FatB)	3.1.2.21		UniRef90_P56902	64.337	6.04e-167	516	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWY-5971|	good_blast	threshold	rxn06556 	NA	0	1
3.1.2.21-RXN	acyl-[acp] thioesterase (fatty acyl-[acyl-carrier-protein] hydrolase FatB)	3.1.2.21		UniRef90_O34340	51.799	1.45e-131	414	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321747	1320500	|PWY-5971|	good_blast	threshold	rxn06556 	NA	0	1
RXN-9655	(R)3-hydroxydecenoyl-[acp]-[acyl-carrier protein]hydro-lyase (trans-delta2-decenoyl-[acyl-carrier-protein]-forming)	4.2.1.59/4.2.1.58/4.2.1.60/4.2.1.61		UniRef90_Q0BTL1	66.667	1.69e-61	202	83	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	779392	779814	|PWY-5971|	good_blast	threshold	rxn05329 rxn05330 rxn05332 rxn05333 rxn05334 rxn05335 rxn06688 rxn06698 rxn07976 rxn07977 rxn07978 rxn07979 rxn07980 rxn07981 rxn18935 rxn18936 rxn18937 rxn19686 rxn21010 rxn21014 rxn21858 rxn21862 rxn25662 rxn25719 rxn26007 rxn38098 	NA	0	1
RXN-9623	RXN-9623	6.2.1.3	NA									|PWY-5971|	no_blast	threshold	rxn00873 rxn00947 rxn05247 rxn05248 rxn05249 rxn05250 rxn05251 rxn05252 rxn05736 rxn05830 rxn08448 rxn08449 rxn08450 rxn08451 rxn08452 rxn08453 rxn08454 rxn08455 rxn08456 rxn08457 rxn09444 rxn09447 rxn09449 rxn09452 rxn09453 rxn10019 rxn10020 rxn10021 rxn10404 rxn10405 rxn10406 rxn10407 rxn10408 rxn10409 rxn12282 rxn19057 rxn19246 rxn20045 rxn23118 rxn23149 rxn23286 rxn24510 rxn25762 rxn27677 rxn28138 rxn28170 rxn32436 rxn33911 rxn33912 rxn33913 rxn33914 rxn33915 rxn33916 rxn33917 rxn33918 rxn33919 rxn33920 rxn33921 rxn37323 rxn37324 rxn38975 rxn38976 rxn38977 	NA	0	NA
RXN-16393	fatty acyl-CoA synthetase (long-chain-fatty-acid-CoA ligase)	6.2.1.2/6.2.1.3		UniRef90_P56902	64.337	6.04e-167	516	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWY-5971|	good_blast	threshold	rxn00873 rxn00947 rxn05247 rxn05248 rxn05249 rxn05250 rxn05251 rxn05252 rxn05736 rxn05830 rxn08448 rxn08449 rxn08450 rxn08451 rxn08452 rxn08453 rxn08454 rxn08455 rxn08456 rxn08457 rxn09444 rxn09447 rxn09449 rxn09452 rxn09453 rxn10019 rxn10020 rxn10021 rxn10404 rxn10405 rxn10406 rxn10407 rxn10408 rxn10409 rxn12282 rxn19057 rxn19246 rxn20045 rxn23118 rxn23149 rxn23286 rxn24510 rxn25762 rxn27677 rxn28138 rxn28170 rxn32436 rxn33911 rxn33912 rxn33913 rxn33914 rxn33915 rxn33916 rxn33917 rxn33918 rxn33919 rxn33920 rxn33921 rxn37323 rxn37324 rxn38975 rxn38976 rxn38977 	NA	0	1
RXN-16393	fatty acyl-CoA synthetase (long-chain-fatty-acid-CoA ligase)	6.2.1.2/6.2.1.3		UniRef90_O34340	51.799	1.45e-131	414	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321747	1320500	|PWY-5971|	good_blast	threshold	rxn00873 rxn00947 rxn05247 rxn05248 rxn05249 rxn05250 rxn05251 rxn05252 rxn05736 rxn05830 rxn08448 rxn08449 rxn08450 rxn08451 rxn08452 rxn08453 rxn08454 rxn08455 rxn08456 rxn08457 rxn09444 rxn09447 rxn09449 rxn09452 rxn09453 rxn10019 rxn10020 rxn10021 rxn10404 rxn10405 rxn10406 rxn10407 rxn10408 rxn10409 rxn12282 rxn19057 rxn19246 rxn20045 rxn23118 rxn23149 rxn23286 rxn24510 rxn25762 rxn27677 rxn28138 rxn28170 rxn32436 rxn33911 rxn33912 rxn33913 rxn33914 rxn33915 rxn33916 rxn33917 rxn33918 rxn33919 rxn33920 rxn33921 rxn37323 rxn37324 rxn38975 rxn38976 rxn38977 	NA	0	1
RXN-9555	cis-vaccenoyl-[acp] thioesterase	3.1.2.14	NA									|PWY-5973|	no_blast	NA	rxn06033 rxn06251 rxn06556 rxn08433 rxn08434 rxn08435 rxn08436 rxn08437 rxn08438 rxn09454 rxn09456 rxn11699 rxn17803 rxn21082 rxn23283 rxn23301 rxn23315 rxn24506 rxn25653 rxn25656 rxn25660 rxn27551 rxn28229 rxn34722 rxn34724 rxn37723 rxn37726 	NA	0	NA
2.3.1.179-RXN	3-oxo-cis-vaccenoyl-[acp] synthase	2.3.1.179		UniRef90_O34340	51.799	1.45e-131	414	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321747	1320500	|PWY-5973|	good_blast	NA	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn07576 rxn17469 rxn26534 rxn26551 rxn26578 rxn26587 rxn26622 rxn26627 rxn26641 rxn26654 rxn26678 rxn26681 rxn26682 rxn26690 rxn26698 rxn26704 rxn26712 rxn26717 rxn26722 rxn27506 rxn31225 	NA	0	1
RXN-9556	3-oxo-cis-vaccenoyl-[acyl-carrier protein] reductase	1.1.1.100		UniRef90_P43713	52.049	3.16e-76	247	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1323142	1322414	|PWY-5973|	good_blast	NA	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495 	NA	0	1
RXN-9556	3-oxo-cis-vaccenoyl-[acyl-carrier protein] reductase	1.1.1.100		UniRef90_O54438	52.191	7.77e-70	229	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1323148	1322414	|PWY-5973|	good_blast	NA	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495 	NA	0	1
RXN-9557	3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase	4.2.1.59/4.2.1.58/4.2.1.60/4.2.1.61		UniRef90_Q0BTL1	66.667	1.69e-61	202	83	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	779392	779814	|PWY-5973|	good_blast	NA	rxn05329 rxn05330 rxn05332 rxn05333 rxn05334 rxn05335 rxn06688 rxn06698 rxn07976 rxn07977 rxn07978 rxn07979 rxn07980 rxn07981 rxn18935 rxn18936 rxn18937 rxn19686 rxn21010 rxn21014 rxn21858 rxn21862 rxn25662 rxn25719 rxn26007 rxn38098 	NA	0	1
RXN-9558	cis-vaccen-2-enoyl-[acp] reductase	1.3.1.9		UniRef90_O24990	54.150	1.06e-90	290	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWY-5973|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9558	cis-vaccen-2-enoyl-[acp] reductase	1.3.1.9		UniRef90_P0AEK4	52.157	7.25e-81	261	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300216	|PWY-5973|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9558	cis-vaccen-2-enoyl-[acp] reductase	1.3.1.9		UniRef90_P44432	49.606	1.91e-77	252	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWY-5973|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9558	cis-vaccen-2-enoyl-[acp] reductase	1.3.1.9		UniRef90_O67505	47.244	4.66e-76	248	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWY-5973|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9558	cis-vaccen-2-enoyl-[acp] reductase	1.3.1.9		UniRef90_P57353	44.531	7.17e-72	236	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300219	|PWY-5973|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
RXN-9578	UDP-alpha-D-glucose 3-dehydrogenase			UniRef90_O34340	51.799	1.45e-131	414	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321747	1320500	|PWY-5978|	good_blast	NA	 	NA	0	1
RXN-9579	UDP-3-dehydro-D-glucose transaminase		NA									|PWY-5978|	no_blast	NA	 	NA	0	NA
RXN-9580	UDP-alpha-D-kanosamine hydrolase		NA									|PWY-5978|	no_blast	NA	 	NA	0	NA
RXN-9581	kanosamine 6-kinase	2.7.1.179	NA									|PWY-5979|	no_blast	NA	 	NA	0	NA
RXN-9582	RXN-9582		NA									|PWY-5979|	spontaneous	NA	 	NA	0	NA
RXN-9583	1-deoxy-1-imino-D-erythrose 4-phosphate synthase		NA									|PWY-5979|	no_seq_data	NA	 	NA	0	NA
RXN-9584	3,4-dideosy-4-amino-D-arabino-heptulosonate 7-phosphate synthase			tr|O52550|O52550_AMYMD	40.920	4.76e-92	301	94	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2110154	2111452	|PWY-5979|	good_blast	NA	 	NA	0	1
RXN-9585	aminodehydroquinate synthase		NA	UniRef90_G0FS62	37.569	1.62e-46	166	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	912654	911569	|PWY-5979|	bad_blast	NA	 	NA	0	NA
RXN-9586	5-deoxy-5-amino-3-dehydroquinate dehydratase		NA	tr|Q7BUF8|Q7BUF8_AMYMD	40.476	7.27e-21	85.5	77	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2642319	2642696	|PWY-5979|	bad_blast	NA	 	NA	0	NA
RXN-9587	3-amino-5-hydroxybenzoate synthase	4.2.1.144	NA									|PWY-5979|	no_blast	NA	 	NA	0	NA
CDPDIGLYSYN-RXN	phosphatidate cytidylyltransferase	2.7.7.41	NA	UniRef90_Q9X1B7	29.249	3.92e-20	87.0	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	771565	772245	|PWY-5981|	bad_blast	NA	rxn05272 rxn06043 rxn08306 rxn08307 rxn08308 rxn08309 rxn08310 rxn08311 rxn08312 rxn10220 rxn10221 rxn10222 rxn10223 rxn10224 rxn10225 rxn10457 rxn10992 rxn19270 rxn19272 rxn19273 rxn26359 rxn27745 rxn27746 rxn33925 rxn33926 rxn33928 rxn33930 rxn36659 rxn38533 	NA	0	NA
GLYC3PDEHYDROGBIOSYN-RXN	glycerol-3-phosphate dehydrogenase	1.1.1.94		UniRef90_Q21DB2	42.284	1.58e-58	200	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	551739	550795	|PWY-5981|	good_blast	NA	rxn00611 rxn00612 rxn19848 	NA	0	1
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1-acylglycerol-3-phosphate acyltransferase	2.3.1.51	NA	UniRef90_Q9I7C1	31.687	1.51e-28	110	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	894737	895441	|PWY-5981|	bad_blast	NA	rxn05254 rxn06140 rxn06141 rxn06235 rxn08083 rxn08084 rxn08085 rxn08086 rxn08087 rxn08088 rxn08089 rxn10211 rxn10212 rxn10213 rxn10214 rxn10215 rxn10216 rxn10217 rxn10218 rxn10219 rxn10403 rxn14402 rxn16846 rxn23713 rxn26357 rxn26444 rxn28973 rxn33922 rxn33923 rxn33924 rxn33925 rxn33926 rxn33928 rxn33930 rxn37217 rxn37219 	NA	0	NA
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A5FV66	67.485	1.88e-110	352	86	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869779	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q2RTS9	51.343	6.55e-101	323	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869755	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q0C313	49.699	5.32e-88	286	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869770	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A1WWE9	45.345	5.18e-79	260	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869770	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_B2T5U3	45.000	3.04e-75	250	86	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869806	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q0A8R4	42.398	1.31e-72	241	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870768	1869752	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q28RG0	44.136	1.28e-71	239	89	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869800	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_B5YG77	38.671	6.25e-72	239	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870765	1869773	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A1VRU8	42.169	9.42e-71	237	89	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869779	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q1GI68	41.776	1.79e-69	234	81	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870672	1869776	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A8H5I0	37.725	5.67e-69	231	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869770	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A3QDB9	38.369	1.56e-68	229	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869779	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A9ADF2	44.201	2.28e-67	227	86	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869806	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_P57976	42.951	1.29e-66	224	89	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869869	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q15TZ5	38.323	5.59e-66	222	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869770	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A4W9A4	41.720	1.28e-65	221	90	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869848	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_A8FWL1	36.527	3.11e-64	217	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870762	1869770	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_B4UIN4	42.478	2.09e-62	213	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870768	1869758	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9590	phosphate acyltransferase	2.3.1.274		UniRef90_Q1D339	42.525	9.20e-62	211	84	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1870756	1869869	|PWY-5981|	good_blast	NA	 	NA	0	1
RXN-9591	acyl phosphate:glycerol-3-phosphate acyltransferase	2.3.1.275	NA	UniRef90_Q5FRH0	60.309	6.66e-40	142	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	877496	876915	|PWY-5981|	bad_blast	NA	 	NA	0	NA
RXN-9592	sulfoacetaldehyde dehydrogenase	1.2.1.73		UniRef90_Q2BN77	36.105	1.23e-63	220	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	567895	569142	|PWY-5982|	good_blast	full	rxn04789 	NA	0	1
RXN-9592	sulfoacetaldehyde dehydrogenase	1.2.1.73		UniRef90_Q2BN77	31.947	5.14e-61	212	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	23644	22283	|PWY-5982|	good_blast	full	rxn04789 	NA	0	1
RXN-9603	trehalose synthase	2.4.1.245	NA									|PWY-5983|	no_blast	NA	rxn13954 rxn15876 rxn15877 rxn25697 	NA	0	NA
RXN-9594	tetraketide-[rifamycin PKS] synthase		NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-9602	undecaketide-[rifamycin PKS] synthase		NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-9604	rifamycin amide synthase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-9605	RXN-9605		NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-9609	RXN-9609		NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-9610	27-O-demethyl-25-O-desacetyl-rifamycin SV O-acetyltransferase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-9611	27-O-demethyl-rifamycin SV methyltransferase	2.1.1.315	NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-9612	RXN-9612		NA									|PWY-5984|	spontaneous	NA	 	NA	0	NA
RXN-20243	RXN-20243		NA									|PWY-5984|	spontaneous	NA	 	NA	0	NA
RXN-20244	rifamycin S transketolase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-20245	rifamycin L oxidase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-20247	7-(3-amino-5-hydroxyphenyl)-7-hydroxy-2,6-dimethyl-3,5-dioxoheptanoyl-[rifamycin PKS] 2-hydroxylase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-20248	RXN-20248		NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-20273	3-amino-5-hydroxybenzoate:rifamycin PKS ligase	6.2.1.74	NA									|PWY-5984|	no_seq_data	NA	 	NA	0	NA
RXN-20302	25-O-deacetyl-27-O-demethylrifamycin S synthase		NA									|PWY-5984|	no_blast	NA	 	NA	0	NA
RXN-9613	trehalose synthase		NA									|PWY-5985|	no_blast	NA	 	NA	0	NA
RXN-9632	3-oxo-stearoyl-[acyl-carrier protein] synthase	2.3.1.41		UniRef90_P43710	40.431	9.88e-73	244	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWY-5989|	good_blast	NA	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn06238 rxn07576 rxn07997 rxn07998 rxn08000 rxn08001 rxn08002 rxn13666 rxn13667 rxn13668 rxn13669 rxn13671 rxn13672 rxn13673 rxn13674 rxn13676 rxn13677 rxn17770 rxn21008 rxn21012 rxn21860 rxn25647 rxn25716 rxn25737 rxn25738 rxn25739 rxn25740 rxn25741 rxn25742 rxn26532 rxn26556 rxn26559 rxn26591 rxn26593 rxn26599 rxn26619 rxn26625 rxn26660 rxn26706 rxn27545 rxn27546 rxn27984 rxn37966 rxn38289 rxn38294 rxn38335 rxn38493 rxn38500 rxn38506 rxn38544 rxn38557 rxn38559 rxn38584 rxn38585 rxn38593 rxn38606 rxn38607 rxn38629 rxn38655 	NA	0	1
RXN-9632	3-oxo-stearoyl-[acyl-carrier protein] synthase	2.3.1.41		UniRef90_Q02K94	40.000	3.45e-69	234	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWY-5989|	good_blast	NA	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn06238 rxn07576 rxn07997 rxn07998 rxn08000 rxn08001 rxn08002 rxn13666 rxn13667 rxn13668 rxn13669 rxn13671 rxn13672 rxn13673 rxn13674 rxn13676 rxn13677 rxn17770 rxn21008 rxn21012 rxn21860 rxn25647 rxn25716 rxn25737 rxn25738 rxn25739 rxn25740 rxn25741 rxn25742 rxn26532 rxn26556 rxn26559 rxn26591 rxn26593 rxn26599 rxn26619 rxn26625 rxn26660 rxn26706 rxn27545 rxn27546 rxn27984 rxn37966 rxn38289 rxn38294 rxn38335 rxn38493 rxn38500 rxn38506 rxn38544 rxn38557 rxn38559 rxn38584 rxn38585 rxn38593 rxn38606 rxn38607 rxn38629 rxn38655 	NA	0	1
RXN-9633	3-oxo-stearoyl-[acyl-carrier protein] reductase	1.1.1.100		UniRef90_P43713	52.049	3.16e-76	247	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1323142	1322414	|PWY-5989|	good_blast	NA	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495 	NA	0	1
